Product,Source File,OCR/Visual Evidence,Match Reason,Confidence,Status,Main Image,Thumbnail
"KALWAR-40","WhatsApp Image 2026-08-06 at 4.53.08 PM (6).jpeg","Kalwar-40 / Paclobutrazol 40% SC / Plant Growth Regulator","Brand + printed composition verified visually","100%","MATCHED","/uploads/kalwar-40.webp","/uploads/thumbnails/kalwar-40.webp"
"HEXON PLUS","WhatsApp Image 2026-08-06 at 4.53.08 PM.jpeg","Hexon Plus / Hexaconazole 5% SC / Systemic Fungicide","Brand + printed composition verified visually","100%","MATCHED","/uploads/hexon-plus.webp","/uploads/thumbnails/hexon-plus.webp"
"NUTRIVA 3.50.50","WhatsApp Image 2026-08-06 at 4.53.09 PM (12).jpeg","NUTRIVA 3.50.50","Brand + printed composition verified visually","100%","MATCHED","/uploads/nutriva-35050.webp","/uploads/thumbnails/nutriva-35050.webp"
"PENIL EXTRA","WhatsApp Image 2026-08-06 at 4.53.09 PM (15).jpeg","Penil Extra / Pendimethalin 38.7% CS / Herbicide","Brand + printed composition verified visually","100%","MATCHED","/uploads/penil-extra.webp","/uploads/thumbnails/penil-extra.webp"
"PRIMIUM","WhatsApp Image 2026-08-06 at 4.53.09 PM (19).jpeg","Primium / Azadirachtin 0.15% EC (1500 ppm) / Insecticide","Brand + printed composition verified visually","100%","MATCHED","/uploads/primium.webp","/uploads/thumbnails/primium.webp"
"DR. RAPIDO","WhatsApp Image 2026-08-06 at 4.53.09 PM (22).jpeg","RAPIDO / Protein Hydrolysates 25% (Plant Source) Liquid","Brand + printed composition verified visually","100%","MATCHED","/uploads/dr-rapido.webp","/uploads/thumbnails/dr-rapido.webp"
"TAGAR SUPER","WhatsApp Image 2026-08-06 at 4.53.09 PM (34).jpeg","Tagar Super / Quizalofop Ethyl 5% EC / Herbicide","Brand + printed composition verified visually","100%","MATCHED","/uploads/tagar-super.webp","/uploads/thumbnails/tagar-super.webp"
"DR. UJJAS-32","WhatsApp Image 2026-08-06 at 4.53.09 PM (41).jpeg","Dr. Ujjas-32 / Urea Ammonium Nitrate 32% Nitrogen","Brand + printed composition verified visually","100%","MATCHED","/uploads/dr-ujjas-32.webp","/uploads/thumbnails/dr-ujjas-32.webp"
"UJJVALA","WhatsApp Image 2026-08-06 at 4.53.09 PM (42).jpeg","Ujjvala / Dinotefuran 20% SG / Insecticide","Brand + printed composition verified visually","100%","MATCHED","/uploads/ujjvala.webp","/uploads/thumbnails/ujjvala.webp"
"NUTRI POWER 00:52:34","WhatsApp Image 2026-08-06 at 4.53.09 PM (49).jpeg","NUTRI POWER / NPK 00:52:34","Brand + printed composition verified visually","100%","MATCHED","/uploads/nutri-power-005234.webp","/uploads/thumbnails/nutri-power-005234.webp"
"NUTRI POWER 13:00:45","WhatsApp Image 2026-08-06 at 4.53.09 PM (51).jpeg","NUTRI POWER / NPK 13:00:45","Brand + printed composition verified visually","100%","MATCHED","/uploads/nutri-power-130045.webp","/uploads/thumbnails/nutri-power-130045.webp"
"ACPRIME","WhatsApp Image 2026-08-06 at 4.53.09 PM (55).jpeg","ACPRIME / Acetamiprid 20% SP / Insecticide","Brand + printed composition verified visually","100%","MATCHED","/uploads/acprime.webp","/uploads/thumbnails/acprime.webp"
"CARE PHOS","WhatsApp Image 2026-08-06 at 4.53.09 PM (64).jpeg","Care Phos / Chlorpyriphos 20% EC / Insecticide","Brand + printed composition verified visually","100%","MATCHED","/uploads/care-phos.webp","/uploads/thumbnails/care-phos.webp"
"NUTRI POWER CBZ","WhatsApp Image 2026-08-06 at 4.53.09 PM (65).jpeg","NUTRI POWER CBZ / Fortified Calcium Suspension","Brand + printed composition verified visually","100%","MATCHED","/uploads/nutri-power-cbz.webp","/uploads/thumbnails/nutri-power-cbz.webp"
